uid,object_id,seen,description
94bfb47d-e23d-4f05-ab1b-6ada135df463,8,yes,screw hat
94bfb47d-e23d-4f05-ab1b-6ada135df463,21,yes,looks like a butterfly
94bfb47d-e23d-4f05-ab1b-6ada135df463,23,yes,seen a logo like this
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,yes,a sign of fan
94bfb47d-e23d-4f05-ab1b-6ada135df463,19,yes,a part inside the my dog's water dispenser
94bfb47d-e23d-4f05-ab1b-6ada135df463,9,yes,looks like a house
94bfb47d-e23d-4f05-ab1b-6ada135df463,24,yes,looks like an animation character with two arms up
94bfb47d-e23d-4f05-ab1b-6ada135df463,28,yes,looks like naan with 2 meats inside
94bfb47d-e23d-4f05-ab1b-6ada135df463,13,yes,looks like camel's back
94bfb47d-e23d-4f05-ab1b-6ada135df463,16,yes,two screws heads attached to each other
94bfb47d-e23d-4f05-ab1b-6ada135df463,30,yes,four leaf clover
94bfb47d-e23d-4f05-ab1b-6ada135df463,5,yes,lighthouse
94bfb47d-e23d-4f05-ab1b-6ada135df463,14,yes,coffin
94bfb47d-e23d-4f05-ab1b-6ada135df463,15,yes,a kind of flower
94bfb47d-e23d-4f05-ab1b-6ada135df463,10,yes,message tool
94bfb47d-e23d-4f05-ab1b-6ada135df463,25,yes,hammer
94bfb47d-e23d-4f05-ab1b-6ada135df463,20,yes,cork
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,yes,a tote bag
94bfb47d-e23d-4f05-ab1b-6ada135df463,6,yes,key chain
94bfb47d-e23d-4f05-ab1b-6ada135df463,12,yes,baby's bottle
94bfb47d-e23d-4f05-ab1b-6ada135df463,11,yes,my dog's toy
94bfb47d-e23d-4f05-ab1b-6ada135df463,27,yes,head of a kind of fox with big ears
94bfb47d-e23d-4f05-ab1b-6ada135df463,7,yes,duck
94bfb47d-e23d-4f05-ab1b-6ada135df463,29,yes,ring
f80effe7-c388-4427-ab48-c1bcbc38b45a,5,yes,table lamp or call bell
f80effe7-c388-4427-ab48-c1bcbc38b45a,30,no,"four heart shaped objects connected up and down, left and right with two prism shaped objects with round and sharp edges side to side horizontally "
f80effe7-c388-4427-ab48-c1bcbc38b45a,16,yes,dumbbell or toy / toy house
f80effe7-c388-4427-ab48-c1bcbc38b45a,7,yes,figure / toy 
f80effe7-c388-4427-ab48-c1bcbc38b45a,17,no,octagonal prism with three vase-shaped objects on top 
f80effe7-c388-4427-ab48-c1bcbc38b45a,22,yes,chromosome 
f80effe7-c388-4427-ab48-c1bcbc38b45a,19,yes,bolts and nuts 
f80effe7-c388-4427-ab48-c1bcbc38b45a,25,yes,gravity balance toy or bouncing / jumping toy for kids
f80effe7-c388-4427-ab48-c1bcbc38b45a,21,no,hour-glass shaped object with two long rectangular prisms on its front and back 
f80effe7-c388-4427-ab48-c1bcbc38b45a,23,no,triangular prism that is empty in the middle with three rectangular blocks connected on each side 
f80effe7-c388-4427-ab48-c1bcbc38b45a,24,yes,"a cylinder with two round edged cylinders on the side, angled upwards"
f80effe7-c388-4427-ab48-c1bcbc38b45a,12,no,an egg-shaped orb on top of a smaller orb connected with two trapezoid-shaped sticks  on the side
f80effe7-c388-4427-ab48-c1bcbc38b45a,10,yes,fire hydrant 
f80effe7-c388-4427-ab48-c1bcbc38b45a,20,no,cone-shaped object on top of an orb horizontally cut in half with four coconut-shaped round objects on its sides
f80effe7-c388-4427-ab48-c1bcbc38b45a,6,no,cylinder that is empty in the middle and right upper side has round-edged rectangular prism and triangular prism on the cut-off side
f80effe7-c388-4427-ab48-c1bcbc38b45a,9,yes,toy house 
f80effe7-c388-4427-ab48-c1bcbc38b45a,27,no,hexagonal prism with rectangular prism on the bottom and two hexagonal prisms on the side angled upwards
f80effe7-c388-4427-ab48-c1bcbc38b45a,4,yes,jungle maze in playground
f80effe7-c388-4427-ab48-c1bcbc38b45a,29,no,cylinder that is empty in the middle with two cubes on the side and a pyramidal frustum on top 
f80effe7-c388-4427-ab48-c1bcbc38b45a,1,no,rainbow-shaped object with round-shaped rectangular prism on the bottom and vertically cut cylinder connected on front and back
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,14,yes,ticket entrance
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,18,no,"An orange square-ish circle folded in half and then opened up again, pushed in between teal colored triangles split in half. "
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,2,yes,pacifier
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,11,yes,diamond brooch
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,6,no,Orange donut with 1/4 cut from the top. On top of the cut-off portion is a yellow eraser-shaped rectangle with a brown triangle place on top.
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,14,no,It looks like a container
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,17,no,Looks like a hat
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,26,no,looks like a molecule
eb080a65-8d4d-490b-b478-ff3976ada724,30,yes,Heart
eb080a65-8d4d-490b-b478-ff3976ada724,24,no,It's a ring with a short cylinder attached through it
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,6,no,circle with two objects on top
eb080a65-8d4d-490b-b478-ff3976ada724,27,no,It looks like a two antennas attached to a hexagon
eb080a65-8d4d-490b-b478-ff3976ada724,28,yes,Semi circles & blocks
eb080a65-8d4d-490b-b478-ff3976ada724,10,yes,Cactus or a human head
eb080a65-8d4d-490b-b478-ff3976ada724,6,yes,Circle
eb080a65-8d4d-490b-b478-ff3976ada724,7,no,Looks like a toy duck with a rod attached through it
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,7,no,looks like a tree
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,10,no,im not sure
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,13,no,looks like a box
eb080a65-8d4d-490b-b478-ff3976ada724,2,no,looks like a wheel attached to something
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,22,no,looks like some type of molecule
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,23,yes,sea belt buckle
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,19,yes,top 
eb080a65-8d4d-490b-b478-ff3976ada724,17,no,looks like some flowers in a vase
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,29,yes,ring
eb080a65-8d4d-490b-b478-ff3976ada724,29,yes,Ring
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,9,yes,toy house
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,21,yes,butterfly
eb080a65-8d4d-490b-b478-ff3976ada724,25,yes,hammer
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,3,no,looks like a puzzle piece
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,22,yes,dna
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,4,yes,playground
eb080a65-8d4d-490b-b478-ff3976ada724,14,yes,ancient temple or building
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,20,no,Looks like a mushroom
eb080a65-8d4d-490b-b478-ff3976ada724,9,yes,house
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,27,yes,baby seat seat belt
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,29,no,looks like a bracelet
eb080a65-8d4d-490b-b478-ff3976ada724,4,yes,blocks
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,1,yes,baby toy
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,25,no,looks like a monecraft character
eb080a65-8d4d-490b-b478-ff3976ada724,12,yes,Ovals or eggs
eb080a65-8d4d-490b-b478-ff3976ada724,20,yes,Fire hydrant
eb080a65-8d4d-490b-b478-ff3976ada724,1,yes,Semi circles
eb080a65-8d4d-490b-b478-ff3976ada724,13,no,two semi circles on top of triangular block
eb080a65-8d4d-490b-b478-ff3976ada724,8,yes,Stop sign
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,5,no,looks like a building
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,28,no,looks like an accessory 
eb080a65-8d4d-490b-b478-ff3976ada724,5,no,a pyramid with a circular base on top of each other
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,21,no,could be a sandwich
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,16,no,"two pentagons with a green square in between it. On both outer sides of the pentagons, there is a purple cylinder smushed onto it. "
eb080a65-8d4d-490b-b478-ff3976ada724,26,no,sphere with some flat semi circles attached
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,3,yes,nail polish bottle
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,18,no,i dont know
eb080a65-8d4d-490b-b478-ff3976ada724,3,yes,hexagon
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,12,yes,claw machine hook holding a ball
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,1,no,looks like a rainbow
eb080a65-8d4d-490b-b478-ff3976ada724,11,yes,star or a shuriken
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,4,no,looks like a building
eb080a65-8d4d-490b-b478-ff3976ada724,16,yes,pentagon
eb080a65-8d4d-490b-b478-ff3976ada724,23,yes,a triangle with rectangular blocks attached
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,30,no,hearts put together
eb080a65-8d4d-490b-b478-ff3976ada724,15,yes,flower
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,7,yes,Fighting dummy
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,15,yes,a flower
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,8,yes,looks like a stop sign
eb080a65-8d4d-490b-b478-ff3976ada724,22,no,something that is shaped in a X
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,16,yes,looks like a dog house
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,11,no,looks like a molecule
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,10,yes,Therapy roll
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,19,no,looks like the part to a toy
eb080a65-8d4d-490b-b478-ff3976ada724,18,no,triangles attached to some object
eb080a65-8d4d-490b-b478-ff3976ada724,19,yes,Looks like a yo-yo
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,28,no,2 halves of a circle with 2 light pink squircles in between them. There is also space between the two squircles so that they do not touch each other
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,24,yes,bicycle handles
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,24,no,im confused
eb080a65-8d4d-490b-b478-ff3976ada724,21,no,Looks like a slice of bread between chopsticks
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,25,yes,hammer
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,17,yes,viking helmet
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,2,no,looks like a puzzle piece
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,27,no,im confused
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,5,yes,stacking toy
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,9,yes,looks like a house
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,12,no,oval on top of a circle in the middle of a hexagon
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,26,yes,Break dancing ball
51f435ad-5c52-4131-a7a4-9d7f31fb38c1,23,no,a triangle with boxes attached to the sides of the triangle
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,30,yes,Jewel
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,20,yes,pencil topper
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,8,yes,Bolt nut
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,13,yes,cashier register
ea6c70de-b4a3-49f7-b767-c7aaf3b9d437,15,yes,flower
b5cb19ab-9dfc-4140-b417-a24c5a866452,2,yes,dumbells
b5cb19ab-9dfc-4140-b417-a24c5a866452,19,yes,yarn spools
b5cb19ab-9dfc-4140-b417-a24c5a866452,28,no,"The object is a flat cylinder cut in half, forming two semicircles, with two rectangular blocks not touching in between."
b5cb19ab-9dfc-4140-b417-a24c5a866452,25,yes,street signs / direction signs
b5cb19ab-9dfc-4140-b417-a24c5a866452,30,no,Four 3D hearts connected at its ends with faces towards each other.  Also stemming from where the hearts are connected are two cubes on each side. Each cube have curves protruding off each of the five sides that aren't directly touching the hearts. The face directly opposite of where the hearts and the cubes are connected have four curves protruding out.
b5cb19ab-9dfc-4140-b417-a24c5a866452,11,no,"Rectangular prism with a square base and short height. The corners of the square base is curved in. There are four half spheres on each of the curved in corners. On the square faces of the rectangular prism, half a cube that had its edges smoothed are in the center."
b5cb19ab-9dfc-4140-b417-a24c5a866452,17,no,Octagonal prism with a cube with sides of equal length as the base octagon on top. Triangular prisms fill in the space between the cube and octagon if the sides were to be connected by planes. There are three figures that are two cones connected at its base with its tip cut off. These three are on to of the cube and two triangular prisms.
b5cb19ab-9dfc-4140-b417-a24c5a866452,4,no,"Two cubes connected by a cylinder in between, directly in the center of the face of the cubes. A rectangular prism lays on top of the two cubes with its edges on the edges of the two cubes. There is a short cylinder on the faces of the rectangular prism that is directly above and vertical to the cylinder connecting the two bottom cubes."
b5cb19ab-9dfc-4140-b417-a24c5a866452,29,yes,baby toys
c526f376-e30e-4c32-9baa-3272fb9cf71d,21,yes,This object looks like an hourglass. The line in the middle reminds me of the sand falling down. 
0d51a401-ef06-493f-bccd-0d0e91a53c6d,29,yes,It looks possibly like a ring.
0d51a401-ef06-493f-bccd-0d0e91a53c6d,9,yes,It looks like a house with a roof.
0d51a401-ef06-493f-bccd-0d0e91a53c6d,17,no,It has an octagonal base and three kind of cylinder/cone shapes sticking out.
0d51a401-ef06-493f-bccd-0d0e91a53c6d,11,yes,It looks like a star.
b5cb19ab-9dfc-4140-b417-a24c5a866452,10,yes,fire hydrant 
0d51a401-ef06-493f-bccd-0d0e91a53c6d,28,no,It has two semicircles on the top and bottom and square shaped boxes on the inside.
3b611069-a5ca-46ef-9b86-f529016e0971,20,yes,fire hydrant
0d51a401-ef06-493f-bccd-0d0e91a53c6d,16,no,It has 2 pentagons on the sides and one holding it on the middle with some type of circular shape on the outside.
0d51a401-ef06-493f-bccd-0d0e91a53c6d,12,yes,It kind of looks like a bug.
3b611069-a5ca-46ef-9b86-f529016e0971,16,no,pentagon object with a bar in the middle
c526f376-e30e-4c32-9baa-3272fb9cf71d,8,no,"This object looks a little bit like a stop sign, but the shape in the middle should be an octagon. This object is a circle with a pentagon cut out in the middle. The circle also lies on top of a hexagon shape with cut in half cylinder shapes at the intersection between the hexagon and pentagon. "
3b611069-a5ca-46ef-9b86-f529016e0971,29,no,a ring with boxes on three sides 
3b611069-a5ca-46ef-9b86-f529016e0971,6,no,a ring with a box on one side 
0d51a401-ef06-493f-bccd-0d0e91a53c6d,8,no,It is a circle with a pentagon hole and is on top of a pentagon shape.
3b611069-a5ca-46ef-9b86-f529016e0971,3,no,a fan-type object with a protruding box 
0d51a401-ef06-493f-bccd-0d0e91a53c6d,23,no,It is a triangle with somewhat rectangle shapes on the outside.
3b611069-a5ca-46ef-9b86-f529016e0971,10,no,a fire hydrant type object
c526f376-e30e-4c32-9baa-3272fb9cf71d,12,yes,This reminds me of a beatle. 
3b611069-a5ca-46ef-9b86-f529016e0971,28,no,an open ring with two boxes on the sides 
0d51a401-ef06-493f-bccd-0d0e91a53c6d,5,no,It kind of reminds me of a mushroom.
3b611069-a5ca-46ef-9b86-f529016e0971,23,no,a triangular ring with boxes
0d51a401-ef06-493f-bccd-0d0e91a53c6d,21,yes,It looks like a butterfly.
3b611069-a5ca-46ef-9b86-f529016e0971,24,no,a ring with a rod through it 
0d51a401-ef06-493f-bccd-0d0e91a53c6d,2,yes,It looks a dumbell.
c526f376-e30e-4c32-9baa-3272fb9cf71d,15,yes,It reminds of a windmill. 
0d51a401-ef06-493f-bccd-0d0e91a53c6d,15,yes,It looks like a flower.
3b611069-a5ca-46ef-9b86-f529016e0971,2,no,a cylinder with rings around it and spheres at each end 
b5cb19ab-9dfc-4140-b417-a24c5a866452,7,yes,handle of scooter
b5cb19ab-9dfc-4140-b417-a24c5a866452,13,yes,timer for chess
0d51a401-ef06-493f-bccd-0d0e91a53c6d,14,yes,It looks like a building or house of some sort.
c526f376-e30e-4c32-9baa-3272fb9cf71d,10,no,This object has a circular shape with a flat bottom. There are also four little buttons which stick out of the top half of the circular shape. They also are evenly spaced between each other. This is another button at the very top. 
3b611069-a5ca-46ef-9b86-f529016e0971,8,no,a sphere with a pentagon hole through it 
c526f376-e30e-4c32-9baa-3272fb9cf71d,9,yes,This reminds me of a barn. 
0d51a401-ef06-493f-bccd-0d0e91a53c6d,1,yes,It kind of looks like a rainbow.
3b611069-a5ca-46ef-9b86-f529016e0971,13,no,a tray type object with two pea-like objects on top
3b611069-a5ca-46ef-9b86-f529016e0971,26,no,a sphere with three spheres on the side
b5cb19ab-9dfc-4140-b417-a24c5a866452,1,yes,grill press
b5cb19ab-9dfc-4140-b417-a24c5a866452,12,yes,baby toy
c526f376-e30e-4c32-9baa-3272fb9cf71d,30,no,This object consists of four hearts that are cut in half and connected at the center. This is also a circular shape that also sticks out of the center. 
3b611069-a5ca-46ef-9b86-f529016e0971,25,no,a hammer looking object
3b611069-a5ca-46ef-9b86-f529016e0971,19,no,a top like object
3b611069-a5ca-46ef-9b86-f529016e0971,14,no,three boxes with a roof
3b611069-a5ca-46ef-9b86-f529016e0971,9,no,a house like object
0d51a401-ef06-493f-bccd-0d0e91a53c6d,6,no,It is a circle with a hole inside of the circle. A section of it is cut off with some type of rectangle and triangle in that section.
b5cb19ab-9dfc-4140-b417-a24c5a866452,14,yes,marketplace building with alleys
3b611069-a5ca-46ef-9b86-f529016e0971,17,no,a screw like object
b5cb19ab-9dfc-4140-b417-a24c5a866452,9,yes,house with solar panels
0d51a401-ef06-493f-bccd-0d0e91a53c6d,18,no,It has two triangles with some type of ribbon shaped thing on the top and bottom.
3b611069-a5ca-46ef-9b86-f529016e0971,18,no,a object
b5cb19ab-9dfc-4140-b417-a24c5a866452,27,yes,TV antenna
3b611069-a5ca-46ef-9b86-f529016e0971,4,no,three purple boxes stacked
0d51a401-ef06-493f-bccd-0d0e91a53c6d,19,no,It is a cylinder with a ring in the middle and two other cone shapes sticking out on both sides.
3b611069-a5ca-46ef-9b86-f529016e0971,1,no,an object with a semi circle on top
3b611069-a5ca-46ef-9b86-f529016e0971,27,no,a box with two rods poking out the top
b5cb19ab-9dfc-4140-b417-a24c5a866452,15,yes,jacks
0d51a401-ef06-493f-bccd-0d0e91a53c6d,4,no,It is three squares stuck together with two on the bottom and one on top. There is a cylinder between the bottom two squares and a circle sticking out of the top square on both sides.
3b611069-a5ca-46ef-9b86-f529016e0971,21,no,a z shaped object with a rod down the sidee
3b611069-a5ca-46ef-9b86-f529016e0971,15,no,a rod with multiple rods sticking out
3b611069-a5ca-46ef-9b86-f529016e0971,12,no,two sphere like objects with rings on the side
b5cb19ab-9dfc-4140-b417-a24c5a866452,8,yes,wrench
3b611069-a5ca-46ef-9b86-f529016e0971,7,no,a pear shaped object with a rod sticking out 
3b611069-a5ca-46ef-9b86-f529016e0971,11,no,a diamond shaped object with a box on each side 
c526f376-e30e-4c32-9baa-3272fb9cf71d,28,yes,It reminds me of a my headphones when I fold them. 
3b611069-a5ca-46ef-9b86-f529016e0971,30,no,a clover shaped object
3b611069-a5ca-46ef-9b86-f529016e0971,5,no,a hut shaped object
3b611069-a5ca-46ef-9b86-f529016e0971,22,no,an x shaped object
c526f376-e30e-4c32-9baa-3272fb9cf71d,2,yes,It reminds exercise core roller. 
0d51a401-ef06-493f-bccd-0d0e91a53c6d,27,yes,Looks like the head of a bug with the antennas.
0d51a401-ef06-493f-bccd-0d0e91a53c6d,10,yes,Looks like a cactus.
0d51a401-ef06-493f-bccd-0d0e91a53c6d,3,no,It is a hexagon with another smaller hexagon on one end of it sticking out.
c526f376-e30e-4c32-9baa-3272fb9cf71d,11,no,"The shape is a star with a box coming out of the flat front and back parts. Additionally, there are four little buttons coming out of the sides. "
0d51a401-ef06-493f-bccd-0d0e91a53c6d,24,no,It is a circle shape with some time of diagonal cylinder sticking out of both sides.
b5cb19ab-9dfc-4140-b417-a24c5a866452,26,no,"elongated sphere with three stacks of different sized cylinders on the northwest, southwest and south end. Each stack has two flattened spheres."
b5cb19ab-9dfc-4140-b417-a24c5a866452,23,yes,seat belt of baby carseat 
0d51a401-ef06-493f-bccd-0d0e91a53c6d,25,no,It is a cylinder with a type of circle on the bottom and a rectangular with rounded ends on the top of the cylinder.
0d51a401-ef06-493f-bccd-0d0e91a53c6d,30,yes,It looks like a 4 leaf clover
0d51a401-ef06-493f-bccd-0d0e91a53c6d,7,yes,It looks like a kind of bird.
0d51a401-ef06-493f-bccd-0d0e91a53c6d,22,yes,It kind of looks like a chromosome.
c526f376-e30e-4c32-9baa-3272fb9cf71d,17,yes,It reminds me of some gold that you will find in a lego video game. 
0d51a401-ef06-493f-bccd-0d0e91a53c6d,26,no,It is a circle with three flatter 6 circles on the outside of it.
b5cb19ab-9dfc-4140-b417-a24c5a866452,16,no,"Two prisms with a pentagon base and a short height with the two top sides curved. They are connected by a cube on the pentagon face of each prism. On the two outer faces of the prism are curved cylinders that are pulled up, similar to a rombus"
b5cb19ab-9dfc-4140-b417-a24c5a866452,21,yes,dish sponge
b5cb19ab-9dfc-4140-b417-a24c5a866452,5,yes,stack of funnels
c526f376-e30e-4c32-9baa-3272fb9cf71d,4,yes,This reminds me of a play structure. The tube in the middle would be a tube that you would crawl through to reach the opposite sides of the structure. The circle that is sticking out reminds me of the window that they usually out at the top of these play structures. 
0d51a401-ef06-493f-bccd-0d0e91a53c6d,13,no,It is a trapezium with two semicircles on the top of it and two other 3d triangles on the sides of it.
